text,sentiment
liat noh semenjak cancel gocar potong rb banyak driver gocar gamau ambil chat ga jwb tunggu ga jalan cancel rugi rb tiap peses,negative
kalau bikin kerja ai yg bner lah yakali main bolak balok gk celah sama sekali sia sia bgt pake ruby kalo hasil,negative
aplikasi burik pinjam udah lunas tp limit malah hilang,negative
good good good,positive
jos,positive
gojek sekarang makin sulit digunain order masuk aja lama nerima driver nya payah,negative
mantap and sangat bantu,positive
minta bayar lebih dgn alas jemput jauh terus buat apa tarif,negative
mau pesan makan sahur malah update padahal tadi buka bisabudah mesan eh malah update dah tau paket gua lelet,positive
lah gojek baik sistem aman nya masa no tidak kenal chat,neutral
hp temen tinggal bantu ga,neutral
bagus bgt simpel,positive
ga toleransi buat pay later driver nya,negative
aplikasi yg sekarang jelek banget pesan malah salah jadi balik harus a b malah jadi b a,negative
janji surga dpt cashback tp stlh transaksi slsai cashback zonk,negative
diskon gofood hilang smua hampir tiap hari pesan lewat go food kasih tips driver saya sudah aju komplain ada jelas beberapa hari,negative
pesan gocar comfort lebih mahal biar nyaman tetap yg datang model standart bisa ya,positive
kirim cepat,positive
luar biasa,positive
pertama kali make apk lgsg dapet driver yg ga amanah di tipu sblm uang kembali tetap kasih bintang apk,negative
gojek salah satu karya anak bangsa paling bangga awal layan transportasi online kini gojek kembang jadi super app bantu juta masyarakat indonesia jalan aktivitas hari hari lalu satu aplikasi guna mes ojek mobil makan kirim barang belanja butuh hari hingga laku bagai transaksi uang mudah cepat,positive
sangat bantu skrg biaya lumayan naik,positive
argonya makin sini bukan murah makin mahal biasa dr stasiun pdk ranji extension jln hiu v komplek pjmi ribu skrg ribu,negative
sen express kmrn malam sengaja bayar lebih eehhh datang nya tetap aja telat pusat bantu nya sumpah jelek banget gua langsung uninstall dr hp gua langsung aja gua dwonload aplikasi nya sangat kecewa sekali,negative
mantapp,positive
terimakasih gojek,positive
entah telah bulan juli cari gocar susah sekali driver ga respon cepat kadang malah sengaja lama kan customer cancel order beberapa kali alami lama tunggu lebih menit malah tiba ganti driver jadi harus tunggu lama sungguh kecewa,negative
update fitur jadwal hilang,negative
selalu langgan,positive
bagus transportasi online murah,positive
kira kpn guna mohon jelas sampe sekarang bom tolong perhati akun juga sdh lama guna,positive
sangat bantu jalan jauh,positive
fitur double order go food sangat kecewa customer yg sedang lapar,negative
sangat bantu sekali ada gojek manfaat luar biasa saya,positive
selalu baik semua fasilitas lancar mudah,positive
keren,positive
sangat bantu,positive
klau semua driver driver yg dapat tadi digocar layan bagus ramah bersih kendaraanya peduli sama penumpangmungkin aplikasi nomor deh buat,positive
oke,positive
sanagat bantu,positive
sumpah skrg apk nya jelek bgt yg adain fitur hemat goride tp jg yg sering cancel mau pake yg comfort sama yg biasa sama aj lama makin lama makin buruk aja,negative
senang pakai gojek rena cepat jangan lupa pakai gojek transportasi andal,positive
apk sampah login ulang mulu ni apk ngebug mulu heran,negative
bagus sekali sayaa sukaaaa,positive
gojek terlalu mahal banget turunin harga,negative
customer makin dikit karna biayaya aplikasi yg terlalu tinggi driver ambil customer malah jadi jauh jarak tempuh jemput dapat minimum gaji bawah ribu wajar kota gojek kalah jauh ama apk mau nya untung besar kalau mau ambil untung yg ngotak dikit cstmer udah pakai jasa pakai hp kuota sndiri driver pakai motor isi bensin kuota sndiri jangan sulit komunikasi driver cstmer jangan sembunyi no hp,negative
mudah mana dan slalu banyak promo,positive
suka app,positive
wah ga jelas nomor gojek gw tiba ganti ganti ga login pakai nomor nya suruh verif muka pakai muka saya tidak muka ortu tidak,negative
buru malah dapet driver nyaa jauh jauh,negative
makin update makin parah aplikasi lapor cs belum kabar,negative
kali selalu salah titik alamat yg benar titik selalu jauh tempat mes tempat antar driver suka minta uang tambah titik jauh alamat percuma complain aplikasi bantu,negative
selalu,positive
abis update malah gofoodnya ga buka blank aja kayak nge hang lg butuh eh gabisa buka,negative
aplikasi bagus tpi drivernya kecewa klo tawarin promo goride murah yg benar dong masa sama driver pake atur badan segala benar paham maksud driver tpi klo dri pihak aplikasi yg nawarin tanggu jawab aplikasi dong,negative
layan gofood makin ngaco waktu tunggu cari driver gak masuk akal,neutral
lagg bngt aplikasi luu,negative
aplikasi buruk indonesia gk cocok jadi aplikasi mobilitas selalu error ngebug lalu uang gk masuk tp tiba hilang gk aplikasi buruk saat atau,negative
aplikasi kenapa ada fitur jadwal tampil beda yang contoh fitur bantu padahal uda di update versi baru cerah,neutral
semenjak denda cancel parah bgt bnyak driver nakal udh nggu lama pdhl estimasi jarak posisi driver dekat chat driver sempat baca tpi tdk di balas sampe nggu lama tbtb driver ga aktif bru jam kemudian driver aktif lgi tolong kasih denda jg buat driver nakal bgini,negative
gampangin,positive
sudah main misi balok balok dapat gopay coins k situ capai ribu poin dapat gopay coins k sebut gilir sudah capai ribu poin tiba tulis aplikasnya jaring eror padahal bagus jaring terima ganti rugi waktu kouta saya lama main game balok balok sebut aplikasih sampah,negative
sudah tunggu lama hampir jam nggak dapat driver nya,negative
bagus banyak promo,positive
apk sangat buruk masak sen makan sampek jam sampai keburu kumat asam lambung,negative
langgan paling mudah,positive
bagus efisien,positive
bagus,positive
gk pernah rewel driver atau apps delivery online karna sangat harga tpi hari baru sadar kita dichat driver kita wajib balas dapat review buruk driver pesan atau lokasi sesuai kira perlu balas satu satu tiap kali mes kalau saya pernah marah marah bawel fitnah driver lalu dapat rating yg jelek saya paham tpi kalau karna tidak balas chat parah sih,neutral
tepat waktu,positive
dong kalau desa gak di jemput tulis aja gk jangkau gitu biar pesan gk nunggu masak udah pesan nunggu lama tpi gk driver alas,negative
tambahin metode bayar kek dana yang dong biar lebih fleksibel cuma pake gopay bank,neutral
kurang gabisa bayar pke e wallet dana tambah fiturnya,neutral
gamenya dong baik ga main gw nih,negative
bangke gk login malah terang email bukan akun,negative
aplikasi sangat mudah kan butuh hari hari,positive
jadi pagi mau berangkat kerja sen go ride tiba tiba driver minta bayar cash awal lha duit gue udah aku top up in eh malah dicancel enak jidat akhir gue book kan eh gataunya dapet driver jarak yg hampir dekat sama lokasi tuju ampun mungkin udah sekian kali driver jarak lumayan jauh jarak antar driver lokasi tuju dekat pihak it nya segera baik aplikasi kalian soal gw udah langgan pakai gojek thx,negative
bantu,positive
sangat bagus,positive
sangat bantu,positive
tambah bayar qris buat gofood,positive
bantu,positive
driver gofood ga amanah suka nolak pesan,neutral
cepat sampai tuju,positive
aplikasi nya bagus suka aplikasi klo ken beli makan males keluar tinggal pesan gofood aja layan bagus abang gojek ramah top bgt deh,positive
sejak minyak langka ongkos murah gak sedia jelek banget gojek,negative
terimakasih banyak gojek,positive
recom,negative
parah banget maen bolak balok udah capai poin yg harus gopay coin ehh tiba masalh ganggu ditungguin sampe tidur pas buka aplikasi malah mulao awal hilang dah gopay coin,negative
alhamdulillah lancar,positive
titik cari goride tempat jemput terlalu jauh di baik,negative
mantab cepat tepat,positive
very helpful,positive
terimakasih sangat muas,positive
bagus tranportasi no saat dada andal emang gojek bess lah pokok ngebantu banget,positive
lama oke aja pakai gojek food dapat fasilitas paylater yang bikin kecewa paylater tiba nonaktif,negative
gg bang,positive
mantap,positive
kok nyaman,positive
kacau naik rb tuju rb,negative
jam nunggu gk driver gosend kalo menit gw maklumin apa susah nyari driver,negative
kode ilnxsl,positive
sangat sayang malam malam udah lapar gaada driver mau pick up dah tunggu jam ada pick up,negative
gojek bangsattt mau sen makan aja promo nya ilangin pas top up saldo gopay anjg lawak top up promo ada sekarang akun baru udah gada promo diskon anjg pantes nadiem penjara moga apk gojek bangkrut amin,negative
transparan,negative
jauh good,positive
dong bagi menu gofood sudah goplus vouchernya bisa pakai dibenerin,negative
top mantap is the best,positive
good apk,positive
okey deh,positive
ini knp suruh instal ulang app samsung note ga login bantu,negative
skrng pakai gopaylater sering blokir padahal ada tagih maupun tunggak belum ada terang pakai telah pakai malah blokir sistem jelas cuma php costumer aja,negative
aneh verifikasi wajah gagal mulu mana saldo lagi gopay jadi gk masuk kacau bener udah kirim lapor lalu email juga ada balas parah bener gojek,positive
lengkap semua,positive
tidak suka fitur chat gojek langgan gojek di kirim pesan orang tidak kenal mau pinjam gopay pinjam gopay later aja sulit,negative
kalo resto tutup kasih tau lebih awal dong,negative
mantep,positive
buat sarap pagi sini aja,positive
bagus cepat transportasi,positive
driver nya baik,positive
makasih gan bantu nyemen,positive
gua tuju pik therefore aplikasi sesuai pada jalan map kacau masa tuju beda padahal jelas pik aplikasi yg tuju bukan pik malah yang jauh banget,negative
aplikasi lacak imei hp padahal kan pribadi,negative
bagus bangettt suka,positive
minta gojek usaha fitur bisa pulang pergi driver sama,positive
infin mengaploud capcut perlu desak selamaa jam keluar iklan gagal semua,negative
layan bagus mohon cek untuk akurat akun kadang nopol driver yg cantum sesuai nopol driver yg datang,positive
mau update ga jadi susah kirim nota via aplikasi sama kadang saat penting ga fitur chat aplikasi,neutral
sangat bantu,positive
dong kalau nagih kan udh kek rentenir bikin sklnya cepetlah udah tunggu hari kerja tlfn bolak balik jwbannya template bgt,negative
punya tagih gopay pinjam bayar knp hari ada tagih muncul via wa apa dc tagih kagak info kalo nasabah sudah bayar m lah,negative
sukses selalu,positive
sngat bantu sekali terus tingkat dan sukses,positive
layan mantap,positive
gojek susah driver gimana nih,positive
dapet limit gopay pinjam pas cair tolak harus nunggu tahun kecewaaa,negative
mudah semua,positive
siiipppp,positive
sinyal sering error masa internet nya mati padahal nonton video aja lancar terus kok kalau sen prioritas sama sih sama biasa malah kadang ngendarainnya suka ugal ugalan,negative
suka susah driver gak rekomend bat payah,negative
recommended,positive
responnya cepat ramah,positive
layan muas,positive
lama cari nya,positive
gw mesen paket cepat datengnya lama drivernya,negative
cepat ramah sesuai titik jemput turun maju terus goojek selalu depan,positive
sangat bantu anak sekolah,positive
aplikasi jelek driver ngediemin customer chat gak bales abai udah nunggu hampir jem dapet kaya gitu terus ampunn dahh,negative
makin update makin hp ku gak kuat nahan,negative
sangat manfaat,positive
terlalu lama cari driver,negative
mantapzz,positive
solusi lapar tengah malam mager,positive
gojek aplikasi sangat bantu,positive
bagus tp maaf iklan gojek game online sangat repot,negative
daerah monas sampe kota tua goride nya gak mau duit sen goride hemat gak yg nerima sama sekali goride biasa ribu,negative
kalo driver ga jalan ga respon juga kasih sanksi masalah batalin malah kasih denda drivernya sendiri yang ga jalan buang buang waktu bikin repot bikin rugi dah males jadi uninstall lagi kok ga adil banget eval tuh driver driver lu kalo ga ambil ya batalin pihak driver apa gitu serah dah udah pindah aplikasi ojol,negative
jelek jaring n layan,negative
pliss kasih opsi bayar pake dana,positive
tamabahin metode bayar via qris dong masa kalah sama aplikasi belah,neutral
kendara enak bawa motor nya sip,positive
jujur kalo mau apa apa jadi cepet praktis bangett terus lengkap ada ada,positive
sering update bulang banyak kali uodatenya klo ga update banyak menu yg g buka,negative
terimakasih cepat,positive
hai gojek dong aplikasi baik cuman mau ngecek ongkos sampai wilayah harga nya berapa eh malah tiba tiba banget drivernya mau berangkat padahal ga pencet apa apa sistem kalo yang pencet goride gocar tentu orang mau pergi jadi cuman mau liat ongkos ini berapa,negative
cepat,positive
sampah,negative
sudah topup saldo tambah sesal guna aplikasi akhir lambat lot cs dan masuk uang,negative
sistem nya buruk,negative
eror terus apk nya lol,negative
mas mas nganterin nya lucu,positive
makin kesini makin kesana kasi kendara jauh biar cancel aplikasi duit makin miskin ni app,neutral
efisien cepat,positive
app busuk pake voucher harga tetep sama bahkan lebih mahal trus voucher buat apa,negative
apa udah update malah banyake erro,positive
antara app ini bilang lebih murah turut,positive
cepat go send,positive
guna bgt kalo ga jemput org tua buat anak yg sekolah terus sering diskon gituu jadi lebih murah,positive
gokil jadi fleksibel pulang sekolah,positive
nyaman aja gituu udah sih doang minus cuma harga aja sih but its okay lahh,positive
maju terus gojek asli indonesia,positive
gmna aplikasi beli gomart pertama dua error aplikasi gak notifikasi tiba tiba barang kirim gak chat driver pemberitahuan kalau belanja acc order ke tiga normal liat aktifitas driver sedang ambil barang rugi dong jadi bayar barang gak tulis di notifikasi order saya terus yang ganti rugi siapa coba,negative
selalu nyaman pake gojek saat belum pernah jadi aneh apa,positive
baru kali ada driver gila banget kalo nggk niat ambil order jangan ambil udah sen gojek comfort badan isi udah dateng ketemu ojol nya nyuruh tuker uang main cancel,negative
sangat guna bantu aktifitas,positive
jooss jiissss,positive
sangat bagus,negative
cepat dan selamat tuju,positive
gak bagus gojek orang,negative
ongkirnya mahal,positive
bobrok saham,negative
sangat bantu bagus,positive
jeput cepat driver ramah,positive
layan baik ramah cepat,positive
aplikasi makin bagus goodd,positive
overall mantap,positive
repot pakai aplikasi banding belum,positive
harga jangkau,positive
excellent o iya min kasih fitur baru dong aku ga enak sama driver gocar gara mobil gede masuk jalan kecil fitur baru bisa pilih jenis mobil kecil gitu lho min dah gitu aja terimakasih min,positive
baik,positive
kata kata inti aplikasi bagus saat tidak ada kuota bisa pesan gojek buat pulang sekolah,positive
sangat bantu perjln jauh dekat,positive
mantap bagus sekali,positive
trimakasih,positive
sangat bantu order gosend suka lama banged,positive
sering order sendiri padahal pesan gojek,negative
jelek sering ganggu padahal wifi nya lancar,negative
lah,positive
mantap aplikasi good,positive
mudah pergi,positive
resonable adatip,positive
very good,positive
bukti bayar pdam kota tangerang gopay tampil nomor langgan utuh memang nomor panjang tidak bisa jadi bukti bayar tks,positive
kecewa banget sama gofood tidak mes makan apa jam dini hari bisa tiba tiba notif pesan sedang antar cash rb sekian sumpah ngeselin kalau kayak gin terus boncos uninstall aja aplikasi gojek gak jelas,negative
pernah pesan makan pihak resto tuju tpi restonya malah tutup ingin batal pesan tidak gimana sih padahal udah tutup loh,negative
driver nya baik,positive
baik,positive
aplikasi argo ribu aja smua ratain biar kaya gojek si tamak,negative
senang sekali pokok,positive
i love u full full i love u,positive
aplikasi cocok masak kos maupun rumah aplikasi bantu keluar cepat beli makan harga yang jangkau,positive
saldo potong ga balik batalin transaksi udah lapor kali kali tetep sama aja respons terang udah refund saldo ga balik kecewa,negative
terima kasih pak nadiem gojek,positive
jossgandos,positive
jos jos,positive
lamaa respon complain cust,negative
beda orang beda cara nyetir,positive
aman berkendra bisa butuh mana,positive
bisa chat kurir bisa chat cs buruk pokok,negative
sopan bersih wanggi,positive
makin kecewa go jek sejak atur kalo cancel konsumen potong ribu rupiah buat driver makin kurang sopan yg wa jemput tidak mau balas padahal kalo bilang tidak bisa tetap sedia cancel hanya butuh beri pasti sedia jemput tidak makin buruk sekali layan go jek,negative
ngaco masa tandain aktivitas wajar jadi dapet gopay coin mau co voucher a reward nggak,negative
harap pihak gojek terap sistem denda pinalti costumer sengaja ada respon jam hubung cs gojek driver ber x x selesai masalah pulsa habis khusus tunai driver juga langgan gofood biar saling harga driver costumer terap tidak bayar rugi yg tanggung driver akun tangguh bahkan di blokir kasus hari tiba order selesai otomatis jadi saya yg tanggung,negative
pernah surabaya milik transportasi sana kampung inggris surabaya tidak pernah surabaya pun etik kampung inggris surabaya gojek ketemu lokasi sebut mes sampai sana sampa sana saya dapat nyata lokasi sebut bukan kampung inggris surabaya malah ke jembatan plaza saya bingung lalu coba di gojek keyword sama hasil beda,negative
kamis siang kena suspend kamis sore udah buka jumat kerja jumat malam kena suspend entah apa alas sabtu ingat kantor operasional gojek kantor udah tlp pusat laporin nyata sama pusat suruh buka kala bisa on udah hari gak kerja gak pasu moga aplikasi depan baik lebih baik,negative
banyak voucher murah,positive
aplikasi banyak pilih driver nya ramah wangi,positive
sangatt baguss,positive
driver nunul ismail wahyudi mending sekolahin dulu tuh mulut ngehina orang se gampang kata sarjana gojek kasih ingat keras driver buat didik lebih lanjut soal etika minimal otak nya ga otak udang buat driver nya,negative
layan tingkat,positive
ramah mantap,positive
mantap memang karya anak bangsa semangat pak nadim,positive
ken banget punya akun nya atas nama sendiri,positive
sangat bantu sekali,positive
mantaap,positive
halo pihak gojek sudah tahun tahun guna gojek sejak zaman sma sekarang sudah status mahasiswa kenapa sekarang booking kali malah booking kali gojek yaaa lihat riwayat jalan satu gojek datang saya tuju malah gojek datang jemput baik sistem pihak gojek saya rasa enak hati para driver gojek yang rasa rugi karena salah aplikasi nya,negative
bagus bantu saat butuh,positive
supirnya ramah tepat waktu pokok mantab,positive
faster,positive
makin ga jelas nih drivernya sering nolak order banyak yg ga respon langgan kadang biar saja kyk mobil parkir gak punya atitude driver kyk gitu ketat sistem kerja drivernya,negative
bintang masalah layan bantu padahal kemaren sekarang akun dowgred saya sudahembuat lapor aplikasi gopay sekarang ada jelas nya satu saya laku tari malah belum masuk gopay,negative
banyak banget iklan gasuka,negative
keren lah banyak diskon yapss,positive
gak driver mobil pd ganiat,negative
deh,positive
aplikasi sangat bantu sekali transportasi pokok,positive
jasa layan transportasi affordable,positive
top,positive
cepat respon,positive
kok eror mau bayar biasa lancar pin yg cuma eror knp,negative
sebenernya gojek bagus si harga nya murah murah driver nya yg kasar jujur bikin ga nyaman sampe ngata ngatain padahal ada alas tentu untuk lebih perhati driver nya min overall udh bagus kok gojek cuman mungkin hari saya apes aja,negative
good job,positive
moga tambah bnyak promonya,positive
diver susah temu lama sekali sudah tunggu ga kunjung datang,negative
sangat bagus,positive
gojek memang mantap,positive
sangat bagus sangat guna sy guna aktif layan gojek sayang gopinjam sy sempat guna gopinjam sy byr tepat waktu telah sy bayar tiba sy tolak tidak pinjam padahal sedang butuh sekali jadi kecewa banget sama gojek,positive
topp bnget,positive
dear pt gojek indonesia apa tidak bs pikir manusiawi dgn jarak ambil yg sdh lebih batas lebih km brp nyawa lg yg kalian korban kan haus anda untung kalian manusia bukan robot mana yg kata kalian peduli atur perintah peduli mitra nyata lapang di peras hbs demi untung kalian,negative
udh pake plus mahal,negative
terimakasih banyak jek,positive
mending sih pada grab,positive
langgan tp mkin kesini mkin dikit promo voucher nyaa hadehhhh,neutral
aku bagus yaa udh berapa hari pakai gojek driver nya pada ramah luvv,positive
bantu aku banget kalau gada jemput thanks kpd semua driver and apk,positive
error terus ga pes padahal udh update,negative
banyak driver ga mau ambil gerak g abisa hubung jangan kecewa langgan terkadang pesan tunggu lama driver diam ga hubung tiba di cancel yang sangat kecewa buat langgan,negative
barusan dap driver asik jalan cepat lancar sangat kooperatif saya datang tuju tepat waktu,positive
sangat bagus pelayanam,positive
siip,positive
bagus sangat bantu,positive
bantu sekali operational hari hari,positive
kalibrasi rendah terus,positive
bagusss moga makin banyak promo,positive
mudah easy lancar,positive
mohon go jek khusus go ride sekarang knp rute selalu alih yg jauh padahal yg dekat shrusnya hemat waktu malah buat muter makan waktu jujur makin kesini kok gak respek y sm go jek padahal driver neng klu dpt order mereka harap jgn cancel krn prioritas,negative
aplikasi gajelas cari driver nya kurang responsif jam padahal jam anak sekolah berangkat memang harga jangkau cari nya kurang responsif,negative
rata driver nya sopan kendara bersih,positive
yah diskon nya mantep,positive
serius deh buat aplikasi beli kek shopee gojek tolong lah kalau masang iklan tu jangan tiba tiba masuk aplikasi padahal ngga pencet aku aplikasi terus nonton iklan buat dapatin fitur item sana terus ku taruh aja di lantai karna ngerjain lain eh nyata iklan gojek langsung masuk aplikasi karna ga sadar tekan sama kaki tiba tiba pas liat udah pes gofood mana mahal an rb cuma buat pcs somay ama kulit crispy,negative
driver sering stuck,negative
aplikasi yg sangat bagus bisa bikin driver kena sanksi kena suspend terimakasih aplikator,negative
tingkat order,positive
enak,positive
pesan selalu batalin,negative
jelas beda gofood biasa gofood katering tampil cukup bingung saya sempat ira sedang mes makan biasa lebih baik ada jelas lebih jelas konfirmasi tambah guna masuk menu katering,neutral
aplikasi tolol tipu peras customer tawarin langgan gojek plus biar potong ongkir ongkir nya yg gak ngotak gilir udh langgan tau nya gak pake di banyak resto mana mau minta bantu susah bgt yg kasih cuma opsi batal langgan refund masalah kendala gak mau tau dar hubung cs aja sulit nya minta ampun gak ngetik masalah nya cuma di suruh pilih pesan otomatis yg gak sesuai masalah,negative
joss jiss,positive
oi habis update jadi sering blank error,negative
udah beberapa hari promo buat gofood hilang nyata tanya cs akun laku penyalahgunaan promo gatau penyalahgunaan promonya apa lama mes makan gojek hanya pakai fitur promo sedia bisa guna saya guna jujur sedih sekali saya sering pesan makan gojek,negative
mudah butuh hari hari,positive
mantabs,positive
good,positive
very good,positive
jelek gajelas,negative
kurang bintang beberapa kali driver terima order mobil jalan udah lama nunggu,negative
layan nya kurang cari driver nya lama udh gitu drivernya tiba ganti,negative
aneh pake ongkir murah selalu batalin alas ga driver ga hapus aja sekali biar gausah tu ongkir murah,negative
endulll ajee gtu,positive
makin kesini makin parah nih gojek order makan via gofood resto udah ready hampir jam ga yang ambil order padahal deket jarak resto,negative
sering kasih promo donk,positive
cuma menuhin memori,negative
lancaaaaaarrrrr jayaaaa,positive
bantu org yg bisa kendara beli makan,positive
ada hemat kalau gak pakai,negative
aku download nih gojek mainin game doang ada kendala mulu mau pencet check in gak di pencet baik dong,neutral
moga pak nadim sehat selalu,positive
aplikasi boot,negative
no komen udah liat kan bintaangnya siapa,positive
driver sibuk mulu apa aplikasi yg jelek sih,negative
dulu bru pake soal,positive
sangat kecewa tunggu lama sekali harap driver terima pesan satu lebih parah juga tunggu sangat lama untuk batal pesan waktu benar benar buang sia sia jadi bahkan sudah jadi kali kalau memang tidak ada driver yang sedia langgan terus suruh tunggu pasti sangat rugi benar benar buat frustrasi baik sistem,negative
langgan lama kecewa akhir susah cari driver wlpn prioritas menit cari driver ada trrpaksa jalan sendiri titip kendara,negative
mantap mnjangkau ke pelosok desa layan,positive
aplikasiny skrg lelet banget,negative
la buat driver nya kalo make promo jangan ngedumel gajelas marah gajelas kan maka aplikasi karna bnyk vocer murah nya,positive
cepat respon nyaman,positive
kurang gak bayar qris grab,negative
masalah login sudah verifikasi foto kali kali tetap gagal,negative
moga bantu,positive
sering banget driver gojek gocar sengaja diem lama menit g gerak tp kalau dibatalin tumpang kena denda g adil banget,negative
jangan lelah banyak bolo,positive
drivernya gocar ga niat,negative
tingkat keamananya tidur handphone kunci masa pesan gofood sendiri saldo pun hilang jadi makan tidak saya pesan sudah ke kali buruk banget aman jadi juli,negative
layan bagus harga jangkau,positive
maaf jarang sekali beri nilai buruk banyak sekali eror aplikasi lama guna akhir akhir sangat sering sulit driver baik fitur goride maupun gofood lagi driver no response lama hingga pernah tunggu ada menit baik sistem driver response biasa minta cancel gamau ngomong,negative
gercep,positive
pake gojek cepat kata nunggu driver dateng cuma menit malah nunggu driver dateng menit buat apa harga nya lebih tinggi kalo waktu tunggu driver nya sama aja,negative
good,positive
cs nya slow respon komen kalau makan kurang malah tengah malam balas,negative
